Pmea_00030071	1	7
Pmea_00030064	1	7
Pmea_00030069	1	7
Pmea_00030068	1	7
Pmea_00030067	1	7
Pmea_00030059	1	7
Pmea_00030060	1	7
Pmea_00033776	2	2
Pmea_00033777	2	2
Pmea_00017816	3	25
Pmea_00017456	3	25
Pmea_00017821	3	25
Pmea_00017469	3	25
Pmea_00017820	3	25
Pmea_00017476	3	25
Pmea_00017480	3	25
Pmea_00017448	3	25
Pmea_00017839	3	25
Pmea_00017827	3	25
Pmea_00017817	3	25
Pmea_00017830	3	25
Pmea_00017815	3	25
Pmea_00017828	3	25
Pmea_00017822	3	25
Pmea_00017823	3	25
Pmea_00017840	3	25
Pmea_00017824	3	25
Pmea_00017832	3	25
Pmea_00017450	3	25
Pmea_00017826	3	25
Pmea_00017841	3	25
Pmea_00017842	3	25
Pmea_00017825	3	25
Pmea_00017453	3	25
Pmea_00021403	4	3
Pmea_00021401	4	3
Pmea_00021405	4	3
Pmea_00025163	5	2
Pmea_00025162	5	2
Pmea_00031034	6	6
Pmea_00031033	6	6
Pmea_00031028	6	6
Pmea_00031036	6	6
Pmea_00031029	6	6
Pmea_00031027	6	6
Pmea_00007273	7	4
Pmea_00007278	7	4
Pmea_00007279	7	4
Pmea_00007276	7	4
Pmea_00018874	8	2
Pmea_00018815	8	2
Pmea_00018810	9	13
Pmea_00018806	9	13
Pmea_00018819	9	13
Pmea_00018831	9	13
Pmea_00018832	9	13
Pmea_00018828	9	13
Pmea_00018826	9	13
Pmea_00018825	9	13
Pmea_00018827	9	13
Pmea_00018811	9	13
Pmea_00018813	9	13
Pmea_00018807	9	13
Pmea_00018809	9	13
Pmea_00028187	10	4
Pmea_00028173	10	4
Pmea_00028225	10	4
Pmea_00028298	10	4
Pmea_00029843	11	10
Pmea_00029828	11	10
Pmea_00029829	11	10
Pmea_00029842	11	10
Pmea_00029837	11	10
Pmea_00029834	11	10
Pmea_00029836	11	10
Pmea_00029835	11	10
Pmea_00029840	11	10
Pmea_00029841	11	10
Pmea_00010988	12	3
Pmea_00010026	12	3
Pmea_00011064	12	3
Pmea_00008622	13	6
Pmea_00008626	13	6
Pmea_00008623	13	6
Pmea_00008620	13	6
Pmea_00008625	13	6
Pmea_00008621	13	6
Pmea_00003018	14	2
Pmea_00003017	14	2
Pmea_00017184	15	2
Pmea_00017182	15	2
Pmea_00012796	16	4
Pmea_00012799	16	4
Pmea_00012803	16	4
Pmea_00012794	16	4
Pmea_00000978	17	6
Pmea_00000980	17	6
Pmea_00000967	17	6
Pmea_00000986	17	6
Pmea_00000977	17	6
Pmea_00000982	17	6
Pmea_00025316	18	2
Pmea_00025319	18	2
Pmea_00010306	19	2
Pmea_00010327	19	2
Pmea_00022048	20	2
Pmea_00022047	20	2
Pmea_00006123	21	2
Pmea_00006111	21	2
Pmea_00019111	22	2
Pmea_00019112	22	2
Pmea_00007295	23	3
Pmea_00007294	23	3
